name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,value,proj_own,gpp_score,matchup,game_total
Andrew Wiggins,MIA,PF,6200,31.23,29.77,40.45,19.09,4.802,43.5,37.362,MIA@CHA,216.5
Peyton Watson,DEN,SF,6800,28.34,29.67,40.31,19.03,4.363,45.8,37.024,NYK@DEN,230.0
Bennedict Mathurin,LAC,SG,6400,30.5,29.32,39.83,18.81,4.581,44.0,36.828,LAC@SAS,218.5
PJ Washington,DAL,PF,6200,29.98,29.21,39.68,18.74,4.711,43.1,36.8,DAL@BOS,224.5
Jerami Grant,POR,PF,6600,29.35,29.13,39.57,18.69,4.414,44.6,36.564,POR@HOU,229.0
Derik Queen,NOP,PF,6000,29.94,29.09,39.52,18.66,4.848,42.2,36.764,NOP@PHX,222.5
Jaime Jaquez Jr.,MIA,SF,5900,30.08,28.68,38.96,18.4,4.861,41.9,36.356,MIA@CHA,216.5
Naji Marshall,DAL,SF,6600,28.16,27.43,37.26,17.6,4.156,44.3,34.784,DAL@BOS,224.5
Neemias Queta,BOS,C,5300,26.59,27.39,37.21,17.57,5.168,40.4,35.134,DAL@BOS,224.5
Reed Sheppard,HOU,PG,6200,26.14,27.18,36.92,17.44,4.384,42.4,34.707,POR@HOU,229.0
Mark Williams,PHX,C,5500,26.62,27.15,36.88,17.42,4.936,40.9,34.826,NOP@PHX,222.5
Tari Eason,HOU,SG,6400,25.96,26.99,36.67,17.31,4.217,42.9,34.46,POR@HOU,229.0
Kel'el Ware,MIA,C,5400,28.13,26.82,36.43,17.21,4.967,40.2,34.543,MIA@CHA,216.5
Devin Vassell,SAS,SF,5500,26.42,26.56,36.08,17.04,4.829,40.6,34.228,LAC@SAS,218.5
Toumani Camara,POR,SG,6100,26.65,26.45,35.93,16.97,4.336,41.4,34.03,POR@HOU,229.0
Moussa Diabate,CHA,C,6200,25.3,25.32,34.4,16.24,4.084,41.6,32.81,MIA@CHA,216.5
Jeremiah Fears,NOP,PG,5400,25.29,24.57,33.38,15.76,4.55,39.7,32.201,NOP@PHX,222.5
Royce O'Neale,PHX,PF,5600,24.07,24.55,33.34,15.76,4.384,40.4,32.102,NOP@PHX,222.5
John Collins,LAC,PF,6100,25.05,24.08,32.71,15.45,3.948,40.9,31.556,LAC@SAS,218.5
Julian Champagnie,SAS,SF,4700,23.93,24.06,32.69,15.43,5.119,37.1,31.919,LAC@SAS,218.5
Christian Braun,DEN,SG,5300,22.69,23.75,32.26,15.24,4.481,38.9,31.403,NYK@DEN,230.0
Keldon Johnson,SAS,SG,4300,23.55,23.68,32.17,15.19,5.507,36.0,31.622,LAC@SAS,218.5
Davion Mitchell,MIA,PG,4700,24.79,23.63,32.1,15.16,5.028,36.7,31.498,MIA@CHA,216.5
Brandon Williams,DAL,PG,6300,24.18,23.56,32.01,15.11,3.74,41.0,30.996,DAL@BOS,224.5
Jalen Green,PHX,SG,6600,22.98,23.44,31.84,15.04,3.552,42.1,30.754,NOP@PHX,222.5
Miles McBride,NYK,PG,3000,23.44,23.25,31.58,14.92,7.75,24.9,32.27,NYK@DEN,230.0
Dylan Harper,SAS,PG,4500,23.1,23.22,31.54,14.9,5.16,35.9,31.139,LAC@SAS,218.5
Scoot Henderson,POR,PG,5600,23.23,23.06,31.33,14.79,4.118,39.1,30.653,POR@HOU,229.0
Cameron Johnson,DEN,SF,5500,21.85,22.87,31.06,14.68,4.158,38.7,30.484,NYK@DEN,230.0
Jordan Poole,NOP,PG,4000,23.4,22.74,30.89,14.59,5.685,33.4,30.879,NOP@PHX,222.5
Tim Hardaway Jr.,DEN,SF,4800,21.65,22.66,30.78,14.54,4.721,36.0,30.533,NYK@DEN,230.0
Max Christie,DAL,SG,5100,23.13,22.53,30.61,14.45,4.418,36.6,30.338,DAL@BOS,224.5
Jordan Goodwin,PHX,PG,5400,21.94,22.38,30.41,14.35,4.144,37.7,30.071,NOP@PHX,222.5
Marvin Bagley III,DAL,C,4800,22.64,22.06,29.97,14.15,4.596,35.7,29.927,DAL@BOS,224.5
Steven Adams,HOU,C,3000,21.09,21.93,29.79,14.07,7.31,23.8,30.976,POR@HOU,229.0
Khris Middleton,DAL,SF,5200,22.12,21.55,29.27,13.83,4.144,36.5,29.299,DAL@BOS,224.5
Herbert Jones,NOP,SF,5200,21.78,21.16,28.74,13.58,4.069,36.4,28.894,NOP@PHX,222.5
Luke Kornet,SAS,C,4200,20.93,21.04,28.58,13.5,5.01,33.5,29.058,LAC@SAS,218.5
Mitchell Robinson,NYK,C,4100,21.15,20.98,28.49,13.47,5.117,32.8,29.059,NYK@DEN,230.0
Daniel Gafford,DAL,C,5000,21.46,20.91,28.4,13.42,4.182,35.4,28.728,DAL@BOS,224.5
Robert Williams,POR,C,4900,20.84,20.69,28.1,13.28,4.222,35.1,28.522,POR@HOU,229.0
Pelle Larsson,MIA,SG,5200,21.31,20.32,27.6,13.04,3.908,35.8,28.06,MIA@CHA,216.5
Ryan Kalkbrenner,CHA,C,3700,20.22,20.24,27.5,12.98,5.47,30.4,28.52,MIA@CHA,216.5
